cave,scientific_name,authority,order,family,cave_adaptation,biogeography,common_en,common_pt,source
Gruta das Agulhas,Pseudoblothrus vulcanus,"Mahnert, 1990",Pseudoscorpiones,Syarinidae,troglobiont,endemic-azo,,,B
Gruta das Agulhas,Macarorchestia martini,"Stock, 1989",Amphipoda,Talitridae,unconfirmed,endemic-ter,,,B
Gruta das Agulhas,Pseudosinella ashmoleorum,"Gama, 1988",Collembola,Entomobryidae,eutroglophile,endemic-azo,Cave-dwelling springtail,,B
Gruta das Agulhas,Chthonius ischnocheles,"(Hermann, 1804)",Pseudoscorpiones,Chthoniidae,,introduced,,,G
Gruta das Agulhas,Cryptophagus sp.,"Herbst, 1792",Coleoptera,Cryptophagidae,,,,,G
Gruta dos Balcões,Lithobius obscurus azoreae,"Eason & Ashmole, 1992",Lithobiomorpha,Lithobiidae,troglobiont,endemic-azo,,,G
Gruta dos Balcões,Pseudoblothrus vulcanus,"Mahnert, 1990",Pseudoscorpiones,Syarinidae,troglobiont,endemic-azo,,,G
Gruta dos Balcões,Trechus terceiranus,"Machado, 1988",Coleoptera,Carabidae,troglobiont,endemic-ter,Cave ground-beetle,Carocho cavernícola,BG
Gruta dos Balcões,Pseudosinella ashmoleorum,"Gama, 1988",Collembola,Entomobryidae,eutroglophile,endemic-azo,Cave-dwelling springtail,,B
Gruta dos Balcões,Blaniulus guttulatus,"(Fabricius, 1798)",Julida,Blaniulidae,,introduced,,,G
Gruta dos Balcões,Creophilus maxillosus maxillosus,"(Linnaeus, 1758)",Coleoptera,Staphylinidae,,,,,G
Gruta dos Balcões,Geophilus truncorum,"Bergsøe & Meinert, 1866",Geophilomorpha,Geophilidae,,native,,,G
Gruta dos Balcões,Polydesmus coriaceus,"Porat, 1870",Polydesmida,Polydesmidae,,introduced,,,G
Gruta da Branca Opala,Lithobius obscurus azoreae,"Eason & Ashmole, 1992",Lithobiomorpha,Lithobiidae,troglobiont,endemic-azo,,,G
Gruta da Branca Opala,Aleochara verna,"Say, 1833",Coleoptera,Staphylinidae,,,,,G
Gruta da Branca Opala,Anotylus nitidifrons,"(Wollaston, 1871)",Coleoptera,Staphylinidae,,,,,G
