nome_cavidade,classe,biologia,geologia,integridade,dimensao
Algar do Carvão,A,5,5,4,5
Gruta da Branca Opala,A,5,5,4,3
Gruta da Madre de Deus,A,5,4,4,3
Gruta da Malha,A,5,4,3,4
Gruta das Agulhas,A,5,5,4,5
Gruta do Caldeira,A,5,4,3,3
Gruta do Chocolate,A,5,5,5,4
Gruta do Natal,A,5,5,3,4
Gruta dos Balcões,A,5,5,3,5
Furna de Santa Maria,B,5,3,3,3
Galeria da Queimada,B,3,5,3,5
Gruta do Coelho,B,5,3,3,2
Gruta dos Principiantes,B,5,3,3,3
Algar da Canada do Laranjo,C,3,1,4,1
Algar do Biscoitinho,C,2,1,3,1
Algar do Canadão,C,2,1,5,2
Algar do Chambre,C,2,1,0,3
Algar do Funil,C,3,1,2,3
Algar do João Caldo Quente,C,0,1,3,3
Algar do Juncal,C,0,1,3,5
Algar do Negro,C,3,1,3,1
Algar do Outeiro da Doninha,C,2,2,2,1
Algar do Pico Alto,C,0,1,0,4
Algar do Pico do Funil,C,3,1,0,1
Algar do Pico Gaspar I,C,1,1,4,3
Algar do Pico Gaspar II,C,1,1,4,3
Algar dos Funis,C,0,2,2,0
Algar/Gruta do Mistério,C,3,3,4,3
Algar/Gruta do Pico das Dez,C,3,2,3,3
Cova do Caldeirão,C,2,1,3,1
Fenda do Pico Zimbreiro,C,2,1,4,3
Furna d' Água,C,1,4,3,4
Furna da Nascente,C,2,1,5,3
Furna da Rua Longa,C,2,1,4,2
Furna das Feiticeiras,C,1,1,0,0
Furna das Pombas,C,2,1,3,1
Furna do Cabrito,C,3,3,2,3
Furna do Poço Negro,C,2,1,4,1
Furna dos Ninhos,C,2,1,3,1
Galeria da Ribeira Seca,C,3,1,4,1
Galeria do Fanal,C,3,1,4,1
Galeria do Felisberto Joaquim,C,0,1,3,1
Galeria do Sequeira,C,3,1,2,1
Gruta Briza Azul,C,2,1,5,3
Gruta da Achada,C,5,2,5,2
Gruta da Canada das Vinhas,C,2,2,3,1
Gruta da Canada do Laranjo,C,1,1,3,1
Gruta da Cascata,C,3,1,4,2
Gruta da Chamusca,C,0,3,0,0
Gruta da Malha Grande,C,2,2,2,1
Gruta da Salga,C,2,2,3,1
Gruta da Santinha,C,1,1,3,1
Gruta da Terra Mole,C,3,2,3,2
Gruta das Mercês I,C,3,2,4,1
Gruta das Mercês II,C,1,1,1,0
Gruta de Santa Catarina,C,1,1,2,1
Gruta de Santo António,C,3,3,4,3
Gruta do Alicerce,C,0,1,0,1
Gruta do Baldio,C,2,2,3,1
Gruta do Biscoito,C,1,1,2,1
Gruta do Camelo,C,1,3,1,3
Gruta do Cerro I,C,3,1,3,2
Gruta do Cerro II,C,3,1,3,1
Gruta do Cerro III,C,3,1,3,1
Gruta do Esqueleto,C,3,1,2,1
Gruta do Golfe,C,3,1,2,1
Gruta do Martelo,C,2,2,2,1
Gruta do Morro da Azenha,C,2,2,2,1
Gruta do Pico do Funil,C,3,3,3,2
Gruta do Terreiro da Macela,C,2,2,2,1
Gruta do Zé Grande I,C,0,1,3,1
Gruta do Zé Grande II,C,1,2,3,1
Gruta dos Buracos,C,5,2,2,3
Gruta dos Ratos,C,3,1,2,2
Gruta Pequena,C,3,1,0,1
Tubo I do Monte Brasil,C,2,1,5,1
Tubo II do Monte Brasil,C,2,1,5,1
Gruta do Camarão,D,2,1,4,1
